,HTML,TAG,TC,LTC,TG,P,CTTD,CTTDs
143,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/03/172809222/samsung-pay-sudah-beroperasi-di-9-negara"" title=""Samsung Pay Sudah Beroperasi di 9 Negara  "">Samsung Pay Sudah Beroperasi di 9 Negara  </a></h3>","['h3', 'a']",0,7,4,0,7.5,5.8
144,"<span class=""number"">3</span>",['span'],1,0,2,0,3.0,4.8
145,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/03/172809216/apple-akan-sisipkan-iklan-di-app-store"" title=""Apple Akan Sisipkan Iklan di App Store  "">Apple Akan Sisipkan Iklan di App Store  </a></h3>","['h3', 'a']",0,7,4,0,7.5,5.7
146,"<span class=""number"">4</span>",['span'],1,0,2,0,3.0,4.8
147,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/03/061809161/mengintip-proses-merobohkan-bangunan-tinggi-di-indonesia"" title=""Mengintip Proses Merobohkan Bangunan Tinggi di Indonesia"">Mengintip Proses Merobohkan Bangunan Tinggi di Indonesia</a></h3>","['h3', 'a']",0,7,4,0,7.5,5.7
148,"<span class=""number"">5</span>",['span'],1,0,2,0,3.0,4.8
149,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/03/097809213/iphone-7-segera-masuk-malaysia-bagaimana-indonesia"" title=""iPhone 7 Segera Masuk Malaysia, Bagaimana Indonesia?  "">iPhone 7 Segera Masuk Malaysia, Bagaimana Indonesia?  </a></h3>","['h3', 'a']",0,7,4,0,7.5,5.65
150,"<span class=""number"">6</span>",['span'],1,0,2,0,3.0,4.7
151,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/03/061809272/yoshinori-ohsumi-menerima-nobel-bidang-kedokteran"" title=""Yoshinori Ohsumi Menerima Nobel Bidang Kedokteran"">Yoshinori Ohsumi Menerima Nobel Bidang Kedokteran</a></h3>","['h3', 'a']",0,6,4,0,7.0,5.5
152,"<span class=""number"">7</span>",['span'],1,0,2,0,3.0,4.7
153,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/03/061809160/ketika-perusahaan-perangkat-lunak-masuk-kampus-nasional"" title=""Ketika Perusahaan Perangkat Lunak Masuk Kampus Nasional"">Ketika Perusahaan Perangkat Lunak Masuk Kampus Nasional</a></h3>","['h3', 'a']",0,7,4,0,7.5,5.6
154,"<span class=""number"">8</span>",['span'],1,0,2,0,3.0,4.7
155,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/04/172809423/samsung-z2-mulai-dipasarkan-di-indonesia"" title=""Samsung Z2 Mulai Dipasarkan di Indonesia  "">Samsung Z2 Mulai Dipasarkan di Indonesia  </a></h3>","['h3', 'a']",0,6,4,0,7.0,5.65
156,"<span class=""number"">9</span>",['span'],1,0,2,0,3.0,5.0
157,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/04/061809413/dji-mavic-pro-atau-gopro-karma-ini-yang-lebih-tangguh"" title=""DJI Mavic Pro atau GoPro Karma, Ini yang Lebih Tangguh"">DJI Mavic Pro atau GoPro Karma, Ini yang Lebih Tangguh</a></h3>","['h3', 'a']",0,10,4,0,9.0,6.3
158,"<span class=""number"">10</span>",['span'],1,0,2,0,3.0,4.9
159,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/04/072809430/samsung-luncurkan-ulang-galaxy-note-7-secara-global"" title=""Samsung Luncurkan Ulang Galaxy Note 7 Secara Global  "">Samsung Luncurkan Ulang Galaxy Note 7 Secara Global  </a></h3>","['h3', 'a']",0,8,4,0,8.0,4.7
160,,[],0,0,1,0,0.0,1.9
161,,[],0,0,1,0,0.0,0.8
162,,[],0,0,1,0,0.0,0.65
163,"<div id=""widget_foto"" kanal=""tekno""></div> <div class=""blocking m15-b bgw""></div>","['div', 'div']",0,0,3,0,0.0,4.1
164,"<h2 class=""title"">Grafis<span class=""more""><a href=""http://grafis.tempo.co"">+</a></span></h2>","['h2', 'span', 'a']",0,1,6,0,6.5,8.2
